Base,Tail Number,Min Quantity,Max Quantity,Total
ACY,,1,300,9.0496
ACY,,301,1200,8.1106
ACY,,1201,999999,8.0606
AMA,,1,300,6.9398
AMA,,301,1200,6.8398
AMA,,1201,999999,6.5898
ANC,,1,500,5.2360
ANC,,501,1200,5.1860
ANC,,1201,999999,5.1360
AP3,,1,300,5.6002
AP3,,301,1200,5.5586
AP3,,1201,999999,5.5159
APA,,1,300,5.9445
APA,,301,1200,5.9028
APA,,1201,999999,5.8601
ATL,,1,300,9.3169
ATL,,301,1200,9.1753
ATL,,1201,999999,9.0336
AUS,,1,300,5.4711
AUS,,301,1200,5.4331
AUS,,1201,999999,5.3971
AVL,,1,300,7.4042
AVL,,301,1200,7.3507
AVL,,1201,999999,7.2972
BCT,,1,500,5.7199
BCT,,501,1200,5.6699
BCT,,1201,999999,5.6199
BDL,,1,300,6.8559
BDL,,301,1200,6.8059
BDL,,1201,999999,6.7559
BED,,1,500,6.7984
BED,,501,1200,6.7534
BED,,1201,999999,6.7084
BFI,,1,500,5.4347
BFI,,501,1200,5.3851
BFI,,1201,999999,5.3355
BFM,,1,300,8.3237
BFM,,301,1200,8.2737
BFM,,1201,999999,8.2237
BGI,,1,999999 ,4.7100
BJC,,1,500,7.6813
BJC,,501,1200,7.2626
BJC,,1201,999999,7.2626
BKL,,1,300,7.3918
BKL,,301,1200,7.3378
BKL,,1201,999999,7.2838
BNA,,1,300,6.4646
BNA,,301,1200,6.4198
BNA,,1201,999999,6.3760
BOS,,1,500,10.3243
BOS,,501,1200,10.3043
BOS,,1201,999999,10.2143
BTR,,1,300,5.7046
BTR,,301,1200,5.5239
BTR,,1201,999999,5.2920
BU1,,1,500,7.9984
BU1,,501,1200,7.6864
BU1,,1201,999999,7.4264
BWI,,1,300,8.6779
BWI,,301,1200,8.6223
BWI,,1201,999999,8.5667
BZN,,1,500,6.0631
BZN,,501,1200,6.0141
BZN,,1201,999999,5.9651
CHO,,1,300,7.4356
CHO,,301,1200,7.3856
CHO,,1201,999999,7.3356
CHS,,1,999999,6.1063
CID,,1,300,6.3975
CID,,301,1200,6.3475
CID,,1201,999999,6.2975
CMH,,1,300,6.0327
CMH,,301,1200,5.9844
CMH,,1201,999999,5.9360
DA5,,1,500,5.3018
DA5,,501,1200,5.2718
DA5,,1201,999999,5.0418
DAL2,,1,999999 ,7.1500
DCA,,1,300,9.3984
DCA,,301,1200,9.3635
DCA,,1201,999999,8.7240
DEN,,1,500,9.8593
DEN,,501,1200,9.7668
DEN,,1201,999999,9.6577
DSM,,1,300,6.6739
DSM,,301,1200,6.6239
DSM,,1201,999999,6.5739
DTW,,1,300,8.7118
DTW,,301,1200,8.7118
DTW,,1201,999999,8.7118
EFD,,1,300,5.8731
EFD,,301,1200,5.8231
EFD,,1201,999999,5.7731
EIS,,1,999999 ,6.5730
EWR,,1,500,9.8329
EWR,,501,1200,9.6429
EWR,,1201,999999,9.5129
EYW,,1,300,7.6065
EYW,,301,1200,7.5625
EYW,,1201,999999,7.5185
F45,,1,300,6.5631
F45,,301,1200,6.5131
F45,,1201,999999,6.4631
FAT,,1,300,5.8276
FAT,,301,1200,5.7735
FAT,,1201,999999,5.7193
FAY,,1,300,6.9657
FAY,,301,1200,6.9101
FAY,,1201,999999,6.8566
FDK,,1,300,6.5200
FDK,,301,1200,6.4680
FDK,,1201,999999,6.1530
FLL,,1,500,5.0864
FLL,,501,1200,4.9974
FLL,,1201,999999,4.7464
FSD,,1,300,6.1615
FSD,,301,1200,6.1082
FSD,,1201,999999,6.0550
FSM,,1,300,7.5939
FSM,,301,1200,7.3202
FSM,,1201,999999,7.0464
FTY,,1,300,5.7764
FTY,,301,1200,5.7254
FTY,,1201,999999,5.6744
GEG,,1,300,7.9721
GEG,,301,1200,7.9176
GEG,,1201,999999,7.8173
GND,,1,999999 ,6.6750
GRR,,1,300,6.6873
GRR,,301,1200,6.6427
GRR,,1201,999999,6.1329
GSO,,1,300,6.1775
GSO,,301,1200,6.1240
GSO,,1201,999999,6.0705
HNL,,1,1999,5.3258
HNL,,2000,2999,5.2734
HNL,,3000,3999,5.2211
HNL,,4000,4999,5.1687
HNL,,5000,999999,5.1163
HOU,,1,500,4.7850
HOU,,501,1200,4.7440
HOU,,1201,999999,4.7040
HPN,,1,500,6.2560
HPN,,501,1200,6.2205
HPN,,1201,999999,6.1851
HPN2,,1,500,6.2560
HPN2,,501,1200,6.2205
HPN2,,1201,999999,6.1851
HSV,,1,300,7.5031
HSV,,301,1200,7.4531
HSV,,1201,999999,7.4031
HXD,,1,300,8.9709
HXD,,301,1200,8.8669
HXD,,1201,999999,8.6705
IAD,,1,500,7.5259
IAD,,501,1200,7.4656
IAD,,1201,999999,7.4054
IAH,,1,500,5.3189
IAH,,501,1200,5.2779
IAH,,1201,999999,5.2179
IAMC,,1,999999 ,0.0000
ICT,,1,300,5.8050
ICT,,301,1200,5.7631
ICT,,1201,999999,5.7201
IFP,,1,300,5.8787
IFP,,301,1200,5.8287
IFP,,1201,999999,5.7787
IND,,1,300,5.8356
IND,,301,1200,5.7906
IND,,1201,999999,5.7456
INT,,1,300,7.3869
INT,,301,1200,7.3334
INT,,1201,999999,6.9739
ISM,,1,300,5.9188
ISM,,301,1200,5.7688
ISM,,1201,999999,5.4088
ITO,,1,1999,5.5035
ITO,,2000,2999,5.4512
ITO,,3000,3999,5.3988
ITO,,4000,4999,5.3465
ITO,,5000,999999,5.2941
IXD,,1,300,6.4402
IXD,,301,1200,6.3862
IXD,,1201,999999,6.3322
JAX,,1,300,5.8794
JAX,,301,1200,5.8294
JAX,,1201,999999,5.7794
KIN,,1,999999 ,3.2740
KOA,,1,1999,5.7227
KOA,,2000,2999,5.6703
KOA,,3000,3999,5.6180
KOA,,4000,4999,5.5656
KOA,,5000,999999,5.5133
LAS,,1,500,5.9287
LAS,,501,1200,5.8937
LAS,,1201,999999,5.8587
LAX,,1,500,6.0769
LAX,,501,1200,6.0320
LAX,,1201,999999,5.9521
LEX,,1,300,6.8506
LEX,,301,1200,6.7976
LEX,,1201,999999,6.4266
LFT,,1,300,6.7952
LFT,,301,1200,5.8353
LFT,,1201,999999,5.7831
LGB,,1,300,5.7393
LGB,,301,1200,5.6842
LGB,,1201,999999,5.6291
LIH,,1,1999,5.5101
LIH,,2000,2999,5.4578
LIH,,3000,3999,5.4054
LIH,,4000,4999,5.3530
LIH,,5000,999999,5.3007
LIT,,1,300,6.3886
LIT,,301,1200,6.2256
LIT,,1201,999999,6.0627
LRD,,1,300,6.0378
LRD,,301,1200,5.9878
LRD,,1201,999999,5.9378
LUK,,1,300,6.0968
LUK,,301,1200,5.8812
LUK,,1201,999999,5.1374
MAF,,1,300,7.0042
MAF,,301,1200,6.9542
MAF,,1201,999999,6.7132
MBJ,,1,999999 ,5.9790
MCI,,1,300,7.9672
MCI,,301,1200,7.9024
MCI,,1201,999999,7.8492
MCO,,1,500,5.7790
MCO,,501,1200,5.7390
MCO,,1201,999999,5.6660
MDW,,1,500,6.5138
MDW,,501,1200,6.4693
MDW,,1201,999999,6.4248
MEM,,1,300,6.0886
MEM,,301,1200,6.0375
MEM,,1201,999999,5.9864
MHT,,1,300,8.0081
MHT,,301,1200,7.9081
MHT,,1201,999999,7.7881
MIA,,1,500,7.6444
MIA,,501,1200,7.6004
MIA,,1201,999999,7.5564
MKC,N1TRUCK,1,999999,5.2844
MKC,,1,999999,6.5790
MKE,,1,300,5.9930
MKE,,301,1200,5.6830
MKE,,1201,999999,5.5630
MMU,,1,500,6.9970
MMU,,501,1200,6.6870
MMU,,1201,999999,6.3170
MOB,,1,300,7.9743
MOB,,301,1200,7.3943
MOB,,1201,999999,7.3443
MQS,,1,300,8.1891
MQS,,301,1200,8.1391
MQS,,1201,999999,7.4941
MSP,,1,500,9.1618
MSP,,501,1200,8.4868
MSP,,1201,999999,7.4328
MSY,,1,300,6.1803
MSY,,301,1200,6.0686
MSY,,1201,999999,5.8429
NEW,,1,300,5.8701
NEW,,301,1200,5.5912
NEW,,1201,999999,5.3029
OAK,,1,300,5.5514
OAK,,301,1200,5.5128
OAK,,1201,999999,5.4742
OCJ,,1,999999 ,6.3000
OGG,,1,1999,5.6070
OGG,,2000,2999,5.5549
OGG,,3000,3999,5.5029
OGG,,4000,4999,5.4508
OGG,,5000,999999,5.3987
OMA,,1,300,5.9573
OMA,,301,1200,5.9173
OMA,,1201,999999,5.8763
OPF,,1,500,5.0255
OPF,,501,1200,4.9875
OPF,,1201,999999,4.9485
ORD,,1,300,10.0418
ORD,,301,1200,9.4602
ORD,,1201,999999,9.4060
ORF,,1,300,7.0435
ORF,,301,1200,6.9935
ORF,,1201,999999,6.3105
PBI,,1,500,5.3853
PBI,,501,1200,5.3443
PBI,,1201,999999,5.3043
PDK,,1,300,5.6274
PDK,,301,1200,5.5830
PDK,,1201,999999,5.5395
PHK,,1,300,6.3716
PHK,,301,1200,6.3216
PHK,,1201,999999,6.2716
PIE,,1,300,5.8170
PIE,,301,1200,5.7600
PIE,,1201,999999,5.7100
PSP,,1,500,6.7153
PSP,,501,1200,6.6650
PSP,,1201,999999,6.6148
PVU,,1,300,6.0147
PVU,,301,1200,5.8647
PVU,,1201,999999,5.7647
PWK,,1,300,6.0626
PWK,,301,1200,6.0236
PWK,,1201,999999,5.9836
RDU,,1,300,5.8043
RDU,,301,1200,5.7508
RDU,,1201,999999,5.6973
ROA,,1,300,7.1071
ROA,,301,1200,7.0571
ROA,,1201,999999,7.0071
RST,,1,300,7.5541
RST,,301,1200,7.5041
RST,,1201,999999,7.2131
SAF,,1,300,6.5909
SAF,,301,1200,6.5384
SAF,,1201,999999,6.4859
SAN,,1,500,8.4974
SAN,,501,1200,8.4478
SAN,,1201,999999,8.3993
SAT,,1,300,5.3045
SAT,,301,1200,5.2625
SAT,,1201,999999,5.2195
SAT2,,1,300,5.3045
SAT2,,301,1200,5.2625
SAT2,,1201,999999,5.2195
SAV,,1,300,6.0450
SAV,,301,1200,5.9450
SAV,,1201,999999,5.8945
SBA,,1,300,6.3159
SBA,,301,1200,6.2615
SBA,,1201,999999,6.2082
SD1,,1,999999 ,3.7755
SDL,,1,500,5.6853
SDL,,501,1200,5.6353
SDL,,1201,999999,5.5853
SEA,,1,500,7.3058
SEA,,501,1200,7.2232
SEA,,1201,999999,7.1682
SFO,,1,500,8.5913
SFO,,501,1200,8.5913
SFO,,1201,999999,8.5913
SHV,,1,300,6.7299
SHV,,301,1200,6.5732
SHV,,1201,999999,6.1032
SJC,,1,500,6.5462
SJC,,501,1200,6.4969
SJC,,1201,999999,6.4477
SKB,,1,999999 ,7.5100
SLC,,1,500,6.8475
SLC,,501,1200,6.8175
SLC,,1201,999999,6.5675
STL,,1,500,7.8438
STL,,501,1200,6.5000
STL,,1201,999999,5.5348
STP,,1,300,6.1292
STP,,301,1200,5.9912
STP,,1201,999999,5.8242
STT,,1,999999 ,5.9500
STT2,,1,999999 ,5.9500
SU2,,1,500,6.2924
SU2,,501,1200,6.2396
SU2,,1201,999999,5.6581
SWF,,1,300,6.2300
SWF,,301,1200,6.1779
SWF,,1201,999999,6.1257
TEB,,1,500,6.4532
TEB,,501,1200,6.4082
TEB,,1201,999999,6.3642
TEB2,,1,500,6.4542
TEB2,,501,1200,6.4092
TEB2,,1201,999999,6.3652
TMB,,1,500,5.6295
TMB,,501,1200,5.5795
TMB,,1201,999999,5.5295
TPA,,1,300,5.6536
TPA,,301,1200,5.6096
TPA,,1201,999999,5.5666
TTN,,1,500,7.4930
TTN,,501,1200,5.7920
TTN,,1201,999999,5.7420
TXK,,1,300,6.7203
TXK,,301,1200,6.5549
TXK,,1201,999999,5.9485
TYS,,1,300,6.8888
TYS,,301,1200,6.4718
TYS,,1201,999999,6.3155
UGN,,1,500,6.9994
UGN,,501,1200,6.9237
UGN,,1201,999999,6.6011
UVF,,1,999999 ,4.9200
VNY,,1,500,5.5744
VNY,,501,1200,5.5328
VNY,,1201,999999,5.4879
